block_number, magic_number, block_size, version, previous_block_hash, merkle_root, time, bits, nonce
blk00016.dat,D9B4BEF9,00029C5C,00000001,00000000000008A8FDCC0BAC841CD1CFAACC8155B018A9F1221B58554DFE7AE9,99C89025208D73578FFB5D46DD587F1A69E8A87A65EFD7FC5077FCFF10E95A6E,5002DA15,1A099431,74E994CC
blk00059.dat,D9B4BEF9,00031F6D,00000002,000000000000017DF2A8E330A345D53F07C4466C452029C87E83A0ED3226BCDF,4E5941151360BD450E6A0ED2DC6E3AC97DD71C87EA8758FE0E9425348AF577E7,518AD77E,1A01AA3D,71C1A656
blk00055.dat,D9B4BEF9,0000BB18,00000002,00000000000001352DFBA8AC0DAD559BD2CCDC931E9932A59346F57C936CAF53,5C2930CB5522FB8DC1D4FC626351E54AB0E766A3FC9979AB141C22E5D64E08E8,516F90B6,1A01DE94,CD93802A
blk00050.dat,D9B4BEF9,00031377,00000002,000000000000003D742E2E2844292969A0FF4B00DDD9D3754E2648099A6047E9,E04C78AD52DD38DA3BD206D22AB9EF9A92A9808D4CC4D90E8A824F07A1C34954,5151DC46,1A02816E,47AE9FCF
blk00052.dat,D9B4BEF9,0005DC0A,00000002,0000000000000041E3AE6B19B0719282EA2241B897064418B1DC636012CBC714,8A9701F2C3A524DF55FB6AA5DF1C98B7AC8B5E8BA9748675F9C485EF302F9A2F,515D9837,1A02816E,F4BBBC57
blk00061.dat,D9B4BEF9,0004CFC2,00000002,00000000000000941011011E717C1E7960B531F8A184EDF2F86E7761331EE051,63A4D1C1CFC2812DA024E14FC23EB8C6DA4B6B0531F99521D760BCFE2F18112C,51964658,1A017FE9,1BC3E1B1
blk00056.dat,D9B4BEF9,00058B2B,00000002,000000000000008363A3DBF8C7C9536C6A5BE7DDF5137AADD7384850E0717167,AB9B88DBCA211C4C443C2F4FE96448331C494EAB7C28E5416E0F0ECB66D25033,5176D68A,1A01DE94,FCEB1281
blk00053.dat,D9B4BEF9,0003D400,00000002,000000000000011C167BED369CD0403B9042A4A3E85EF7C98596514249C9EE19,803356EB1592EB6A2E2936BD4474BBB10AF87150AC450497155F113C3119A04F,51636C53,1A022FBE,AC5CFD14
blk00051.dat,D9B4BEF9,00044676,00000002,0000000000000245E32E9FFD856629699231F0DA80F0B8ACE826006E613D0B15,23B074D428A83C41F837081145BB48E17F6AF8BC80BEB608E8B9AC91D2FC2C41,5157BE6A,1A02816E,4EE526ED
blk00060.dat,D9B4BEF9,000184B2,00000002,000000000000010E807598AD4BDC27BB24505F52E1A0447B15F19E1E5896C0A9,A384166CDE96EB7DEA11B4C1CB13A751345D2A61D8FB488BA65E248AEF0F3F39,519059B8,1A017FE9,723AA313
blk00062.dat,D9B4BEF9,0003BA70,00000002,0000000000000049EEEA0A94B7E8612678D292981BD8D82FBF06FBE1435DC931,333CA619DC84DE68926E57408D0E8C55A79CAD87329F96672BD13A346AAF2BCD,519D7738,1A017FE9,6AF169A0
blk00064.dat,D9B4BEF9,0000E747,00000002,0000000000000010D2AEE16E127923ED3CA86F1AF7C2357FBD8D8D39D25551FC,6137B54F8B99A1764D310DC9249AFBA303D4887ECE37E245D0E6F77EADD017E7,51AB0491,1A016164,6FE1C023
blk00057.dat,D9B4BEF9,0002F953,00000002,00000000000000D4A2C1D28DD1BB39776C19792CACD1E1315340E283E28CC02F,405291099E2AC88A1F127DC0669B97A048FEC57DCF34180EDAB27DABE8B164E9,517D5382,1A01DE94,6BE7933D
blk00065.dat,D9B4BEF9,0003947E,00000002,000000000000000B1BDA851E0D2A5A543062A207089D7E82D7B33C838352BFBA,B22375D89AB682DA9262EA8F4E784F68E5DD9EEDDE5A62866E03FADFA64C32F9,51B1BC19,1A011337,1F24969B
blk00066.dat,D9B4BEF9,00018EDB,00000002,000000000000007B5E56854249417C81CCF0CF0F82412615A1A493367D31481B,E8F4273343563875BE0E7D297DEBDD628E1A95E9BAC5AB2B8E61BCD370EA25A7,51B9DB02,1A011337,389005F2
blk00058.dat,D9B4BEF9,0001A629,00000002,00000000000001A9537029E35F8191F4F8092E52985762BAF8E010B2541AD6B0,5C6E5A8167CB2B1F154108932FCAC7739437E96F9A26347107D104B59D5907A2,5184111E,1A01AA3D,0F4EC104
blk00068.dat,D9B4BEF9,0003CD1F,00000002,00000000000000D15D1053137626CCC7D1ABBC4CEEEEE112D21F61E515D4D431,6F3E4E9CE1E55DB4132B3CFD485242C7D28AD84B33F58EB37CAFEED693F8A46B,51CAEA92,1A00DE15,B6C11915
